2, 0.000001, 67381044.176672, 12251098.941213
4, 0.000001, 640602135.309306, 59590896.307842
8, 0.000001, 966700658.559149, 60894529.673017
16, 0.000003, 969162242.953972, 46989684.506859
32, 0.000006, 1028927453.312488, 39813396.016928
64, 0.000015, 1035448512.490988, 33673122.357431
128, 0.000038, 966368961.487677, 27031299.622033
256, 0.000079, 1060773480.821583, 26011303.744284
512, 0.000175, 1069483331.155533, 23385670.106839
1024, 0.000387, 1074975691.291022, 21179341.745527
2048, 0.000890, 1026239929.104225, 18412567.783695
4096, 0.001859, 1070928271.102727, 17630645.368936
8192, 0.004126, 1044118666.125899, 15884938.951759
16384, 0.008696, 1066149529.035043, 15072528.020763
32768, 0.018530, 1071421428.210297, 14146684.965522
65536, 0.039594, 1069111669.978724, 13241677.170518
131072, 0.084069, 1069389827.456769, 12472835.039889
262144, 0.177953, 1069309478.819223, 11784833.681225
524288, 0.375934, 1068115135.659581, 11157026.783674
1048576, 0.791002, 1068306788.390919, 10605042.978497
2097152, 1.662244, 1067199836.617165, 10093111.256959
4194304, 3.483545, 1066634076.872462, 9632265.373550
8388608, 7.362174, 1054975571.421249, 9115359.687394
16777216, 15.198929, 1066185399.853011, 8830735.737503
33554432, 31.974645, 1055583926.932210, 8395260.042016
67108864, 65.841499, 1066017406.093719, 8153989.766739
134217728, 136.996191, 1063862209.953713, 7837749.474820
268435456, 291.486625, 1036849089.935933, 7367348.833068
536870912, 595.077482, 1051846163.271309, 7217492.553124
