
2, 0.000002, 6708593.423732, 6708593.423732
4, 0.000001, 59478071.393271, 59478071.393271
8, 0.000001, 57814261.635083, 57814261.635083
16, 0.000002, 78361503.560462, 56990184.407609
32, 0.000005, 58620124.815525, 52106777.613800
64, 0.000009, 68471055.188893, 54776844.151114
128, 0.000021, 67608979.814676, 49735341.472865
256, 0.000040, 53505031.533322, 51109283.852725
512, 0.000093, 62749149.438858, 44131269.935021
1024, 0.000197, 53657941.029907, 41688718.979230
2048, 0.000404, 43275669.558724, 40543719.696371
4096, 0.000922, 52070764.693036, 35523293.168334
8192, 0.001893, 41507861.016376, 34619466.243754
16384, 0.004081, 38586964.381368, 32121167.789063
32768, 0.008256, 44432632.949429, 31753653.417231
65536, 0.016081, 35830044.831246, 32603340.896678
131072, 0.031055, 45634551.768592, 33765436.247010
262144, 0.057319, 48450132.920455, 36587289.405715
524288, 0.115706, 36744019.971247, 36249527.214144
1048576, 0.251640, 49776146.271377, 33335721.399656
2097152, 0.398577, 52185272.200984, 42092803.778044
4194304, 0.827585, 46235419.563854, 40544993.238163
8388608, 1.752643, 54748155.377202, 38290094.615572
16777216, 3.599596, 42683735.143203, 37286889.135871
33554432, 7.549534, 45615231.184236, 35556557.455149
67108864, 15.681690, 46510805.187778, 34235525.490166
134217728, 32.086753, 34729669.261469, 33463710.334631
268435456, 67.994072, 45582854.868542, 31583395.332513
536870912, 139.224226, 39436891.324801, 30849281.179406
